idHecho,N_VICTIMAS,FECHA_x,AAAA_x,MM_x,DD_x,HORA,HH,TIPO_DE_CALLE,COMUNA,Longitud,Latitud,VICTIMA_x,ACUSADO,ROL,SEXO,semestre,dia_semana_espanol,Rango Etario
2016-0084,1,2016-06-29,2016,6,29,2023-12-05 22:00:00,22,calle,1,-58.38110563,-34.60135531,peaton,pasajeros,peaton,masculino,1,Miércoles,Adulto Mayor
2016-0085,1,2016-06-29,2016,6,29,2023-12-05 22:00:00,22,avenida,4,-58.42378834,-34.657341,moto,otro,sd,masculino,1,Miércoles,Adulto de Edad Media
2016-0086,1,2016-06-30,2016,6,30,2023-12-05 16:10:00,16,avenida,10,-58.48727942,-34.63652467,peaton,pasajeros,peaton,masculino,1,Jueves,Anciano
2016-0087,1,2016-07-02,2016,7,3,2023-12-05 00:10:00,0,autopista,1,-58.37864583,-34.62907067,moto,objeto fijo,conductor,masculino,2,Sábado,Adulto Joven
2016-0088,1,2016-07-11,2016,7,11,2023-12-05 15:30:00,15,calle,12,-58.5015175,-34.56767549,peaton,auto,peaton,femenino,2,Lunes,Anciano
2016-0089,1,2016-07-14,2016,7,14,2023-12-05 06:40:00,6,autopista,13,-58.43233425,-34.55185825,peaton,auto,peaton,masculino,2,Jueves,Adulto de Edad Media
2016-0090,1,2016-07-14,2016,7,14,2023-12-05 22:00:00,22,avenida,5,-58.41971993,-34.6111224,peaton,pasajeros,peaton,masculino,2,Jueves,Anciano
2016-0092,1,2016-07-15,2016,7,15,2023-12-05 11:00:00,11,gral paz,13,-58.46743471,-34.53476874,moto,cargas,conductor,masculino,2,Viernes,Adulto
2016-0093,1,2016-07-17,2016,7,17,2023-12-05 03:30:00,3,avenida,6,-58.44362126,-34.62301748,auto,auto,conductor,masculino,2,Domingo,Adulto de Edad Media
2016-0095,1,2016-07-23,2016,7,23,2023-12-05 06:12:00,6,avenida,11,-58.51713095,-34.59546519,moto,auto,conductor,masculino,2,Sábado,Adulto
2016-0096,1,2016-07-25,2016,7,25,2023-12-05 07:00:00,7,autopista,8,-58.47433193007387,-34.66684950051973,moto,cargas,conductor,masculino,2,Lunes,Adulto de Edad Media
2016-0097,1,2016-07-26,2016,7,26,2023-12-05 18:45:00,18,calle,1,-58.39038605,-34.6156281,peaton,auto,peaton,masculino,2,Martes,Anciano
2016-0098,1,2016-07-27,2016,7,27,2023-12-05 16:08:00,16,avenida,3,-58.40042405,-34.62356174,moto,cargas,conductor,femenino,2,Miércoles,Adulto de Edad Media
2016-0099,1,2016-07-29,2016,7,29,2023-12-05 16:00:00,16,gral paz,11,-58.52340614,-34.59798754,cargas,cargas,conductor,masculino,2,Viernes,Adulto Mayor
2016-0100,1,2016-08-03,2016,8,3,2023-12-05 23:27:00,23,gral paz,12,-58.49491054,-34.54795581,moto,objeto fijo,conductor,masculino,2,Miércoles,Adulto Mayor
2016-0101,1,2016-08-07,2016,8,7,2023-12-05 19:42:00,19,gral paz,9,-58.52932872,-34.65014993,sd,sd,sd,masculino,2,Domingo,Anciano
2016-0102,1,2016-08-10,2016,8,10,2023-12-05 23:37:00,23,avenida,9,-58.50011639,-34.67316502,moto,cargas,conductor,masculino,2,Miércoles,Adulto
2016-0104,1,2016-08-14,2016,8,14,2023-12-05 21:15:00,21,avenida,9,-58.46635001,-34.65624369,moto,pasajeros,conductor,masculino,2,Domingo,Adulto Joven
2016-0105,1,2016-08-17,2016,8,17,2023-12-05 00:05:00,0,avenida,15,-58.45343236,-34.58435809,peaton,pasajeros,peaton,masculino,2,Miércoles,Adulto Joven
2016-0106,1,2016-08-19,2016,8,19,2023-12-05 21:02:00,21,avenida,1,-58.38090932,-34.58927731,peaton,pasajeros,peaton,masculino,2,Viernes,Adulto de Edad Media
2016-0107,1,2016-08-20,2016,8,20,2023-12-05 08:22:00,8,autopista,4,-58.37157668,-34.65429986,moto,auto,conductor,masculino,2,Sábado,Adulto Joven
2016-0109,1,2016-08-24,2016,8,24,2023-12-05 05:45:00,5,autopista,9,-58.52280139,-34.63659934,auto,objeto fijo,conductor,femenino,2,Miércoles,Adulto Mayor
